Item Number,Partnumber,Manufacturer P/N,Manufacturer Name,Manufacturer Family,Part Type,Description,Comment,Value (Numeric),Value (Text),Quantity,Unit of Measure,Manufactured here,RoHS Status,Build Sequence,Revision Name,Revision Status,Revision Reason,Preferred Vendor,Standard Cost,Standard Cost Currency,Standard Lead Time,Standard Cost Minimum,Standard Cost Multiple,Standard Cost Comment
149,R-0948,CRCW0402127KFKED,Vishay/Dale,,Resistor,RES 127 Kohm 1/16W 1% 0402 SMD,"",127000.0,127k,1,each,false,true,"",1,Active,"","",,USD,,,,
150,R-0941,CRCW0402137KFKED,Vishay Dale,,Resistor,RES 137k OHM 1/16W 1% 0402 SMD,"",137000.0,137k,1,each,false,true,"",1,Active,"","",,USD,,,,
151,R-0561,CRCW0402200KFKED,Vishay/Dale,,Resistor,RES 200 Kohm 1/16W 1% 0402 SMD,"","","",1,each,false,true,"",A,Active,Initial Revision,"",0.008,USD,,,,
152,R-0704,CRCW0402240RFKED,Vishay/Dale,,Resistor,RES 240 ohm 1/16W 1% 0402 SMD,"",240.0,240,12,each,false,true,"",A,Active,Initial Revision,"",0.009,USD,,,,
153,R-0707,CRCW0402330RFKED,Vishay/Dale,,Resistor,RES 330 ohm 1/16W 1% 0402 SMD,"",330.0,330,1,each,false,true,"",A,Active,Initial Revision,"",0.008,USD,,,,
154,R-0708,CRCW0402499RFKED,Vishay/Dale,,Resistor,RES 499 ohm 1/16W 1% 0402 SMD,"",499.0,499,1,each,false,true,"",A,Active,Initial Revision,"",0.01,USD,,,,
155,R-0942,CRCW0603560RFKEA,Vishay Dale,,Resistor,RES 560 OHM 1/10W 1% 0603 SMD,"",560.0,560,4,each,false,true,"",1,Active,"","",,USD,,,,
156,R-0770,CRCW0402976RFKED,Vishay/Dale,,Resistor,RES 976 ohm 1/16W 1% 0402 SMD,976,976.0,976,1,each,false,true,"",A,Active,Initial Revision,"",0.006,USD,,,,
157,L-0396,1206CS-751XGL,Coilcraft,,Inductor,INDUCTOR FIXED 750nH 2% SMD 1206,750nH SMD 1206,7.5e-07,750n,1,each,false,true,"",-,Active,"",Coilcraft,0.42,USD,,,,
158,D-0109,"CUS05S30,H3F",Toshiba,,Diode,DIODE SCHOTTKY 30V 0.5A SOD-323-2,"","","",1,each,false,true,"",A,Active,Intial Revision,"",,USD,,,,
159,U-0384,ATECC508A-SSHDA-B,Microchip,,IC,AUTHENTICATION CHIP I2C 8-SOIC,ATECC508A-SSHDA-B Programmed by CM,"","",1,each,false,true,"",A,Active,"","",,USD,,,,
160,U-0441,"74LVC1G74DP,125",Nexperia,,IC,IC Flip Flops SNGL D-TYPE POSITIVE TSSOP-8,"","","",3,each,false,true,"",A,Active,Initial Revision,"",0.153,USD,,,,
161,LED-0003,LTST-C170GKT,Lite-On,,LED,LED GREEN CLEAR 0805 SMD,LTST-C170GKT,"","",9,each,false,true,"",A,Active,"","",,USD,,,,
162,LED-0022,LTST-C170KRKT,Lite-On,,LED,LED RED CLEAR 0805 SMD,"","","",2,each,false,true,"",A,Active,"","",0.05009,USD,,3000,,""
163,U-0315,SN74LVC2G53DCTR,Texas Instruments,,IC,IC SWITCH SPDT SM8,SN74LVC2G53DCTR,"","",7,each,false,true,"",A,Active,"","",,USD,,,,
164,C-0935,SCMQ14D474PRBB0,AVX,,Capacitor,Supercapacitor 0.47F 6.3X14mm Radial,"","","",1,each,true,true,"",A,Active,Initial Revision,"",1.89,USD,,,,
165,U-0645,AP62201WU-7,Diodes Inc.,,IC,"Switching Voltage Regulator, 0.8V - 7V Out, 1A, 740kHz",AP62201WU-7,"","",2,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
